dteday,season,year,month,hr,holiday,one_of_week,workingday,weather_situation,temp,atemp,humidity,casual,registered,count_cr
2011-01-06,Spring,2011,Jan,14,0,Thursday,1,Clear,0.28,0.2727,0.36,11,59,70
2011-01-06,Spring,2011,Jan,15,0,Thursday,1,Clear,0.28,0.2727,0.36,8,54,62
2011-01-06,Spring,2011,Jan,16,0,Thursday,1,Clear,0.26,0.2576,0.38,12,74,86
2011-01-06,Spring,2011,Jan,17,0,Thursday,1,Clear,0.22,0.2273,0.51,9,163,172
2011-01-06,Spring,2011,Jan,18,0,Thursday,1,Clear,0.22,0.2273,0.51,5,158,163
2011-01-06,Spring,2011,Jan,19,0,Thursday,1,Clear,0.22,0.2576,0.55,3,109,112
2011-01-06,Spring,2011,Jan,20,0,Thursday,1,Clear,0.2,0.2121,0.51,3,66,69
2011-01-06,Spring,2011,Jan,21,0,Thursday,1,Misty,0.22,0.2121,0.55,0,48,48
2011-01-06,Spring,2011,Jan,22,0,Thursday,1,Misty,0.22,0.2121,0.51,1,51,52
2011-01-06,Spring,2011,Jan,23,0,Thursday,1,Misty,0.2,0.197,0.59,4,19,23
2011-01-07,Spring,2011,Jan,0,0,Friday,1,Misty,0.2,0.197,0.64,4,13,17
2011-01-07,Spring,2011,Jan,1,0,Friday,1,Misty,0.2,0.197,0.69,2,5,7
2011-01-07,Spring,2011,Jan,2,0,Friday,1,Misty,0.2,0.197,0.69,0,1,1
2011-01-07,Spring,2011,Jan,4,0,Friday,1,Misty,0.2,0.2121,0.69,0,1,1
2011-01-07,Spring,2011,Jan,5,0,Friday,1,Light Snow,0.22,0.2727,0.55,0,5,5
2011-01-07,Spring,2011,Jan,6,0,Friday,1,Misty,0.2,0.2576,0.69,8,26,34
2011-01-07,Spring,2011,Jan,7,0,Friday,1,Clear,0.2,0.2121,0.69,8,76,84
2011-01-07,Spring,2011,Jan,8,0,Friday,1,Clear,0.2,0.197,0.51,20,190,210
2011-01-07,Spring,2011,Jan,9,0,Friday,1,Clear,0.2,0.1818,0.47,9,125,134
2011-01-07,Spring,2011,Jan,10,0,Friday,1,Clear,0.22,0.197,0.37,16,47,63
2011-01-07,Spring,2011,Jan,11,0,Friday,1,Misty,0.2,0.197,0.4,19,48,67
2011-01-07,Spring,2011,Jan,12,0,Friday,1,Misty,0.2,0.197,0.37,9,50,59
2011-01-07,Spring,2011,Jan,13,0,Friday,1,Misty,0.2,0.1818,0.37,9,64,73
2011-01-07,Spring,2011,Jan,14,0,Friday,1,Misty,0.2,0.197,0.4,7,43,50
2011-01-07,Spring,2011,Jan,15,0,Friday,1,Misty,0.2,0.2121,0.37,9,63,72
2011-01-07,Spring,2011,Jan,16,0,Friday,1,Misty,0.2,0.2121,0.37,5,82,87
2011-01-07,Spring,2011,Jan,17,0,Friday,1,Misty,0.2,0.2576,0.37,9,178,187
2011-01-07,Spring,2011,Jan,18,0,Friday,1,Clear,0.2,0.2273,0.4,7,116,123
2011-01-07,Spring,2011,Jan,19,0,Friday,1,Clear,0.16,0.197,0.55,3,92,95
2011-01-07,Spring,2011,Jan,20,0,Friday,1,Clear,0.18,0.2121,0.47,1,50,51
2011-01-07,Spring,2011,Jan,21,0,Friday,1,Clear,0.18,0.197,0.47,0,39,39
2011-01-07,Spring,2011,Jan,22,0,Friday,1,Misty,0.18,0.197,0.43,2,34,36
2011-01-07,Spring,2011,Jan,23,0,Friday,1,Misty,0.18,0.197,0.51,1,14,15
2011-01-08,Spring,2011,Jan,0,0,Saturday,0,Misty,0.18,0.197,0.51,1,24,25
2011-01-08,Spring,2011,Jan,1,0,Saturday,0,Misty,0.18,0.2121,0.55,1,15,16
2011-01-08,Spring,2011,Jan,2,0,Saturday,0,Misty,0.18,0.2424,0.55,3,13,16
2011-01-08,Spring,2011,Jan,3,0,Saturday,0,Light Snow,0.18,0.197,0.55,0,7,7
2011-01-08,Spring,2011,Jan,4,0,Saturday,0,Light Snow,0.18,0.197,0.55,0,1,1
2011-01-08,Spring,2011,Jan,5,0,Saturday,0,Misty,0.16,0.1667,0.74,0,5,5
2011-01-08,Spring,2011,Jan,6,0,Saturday,0,Misty,0.16,0.1667,0.74,0,2,2
2011-01-08,Spring,2011,Jan,7,0,Saturday,0,Misty,0.16,0.1818,0.74,1,8,9
2011-01-08,Spring,2011,Jan,8,0,Saturday,0,Light Snow,0.16,0.1818,0.93,0,15,15
2011-01-08,Spring,2011,Jan,9,0,Saturday,0,Light Snow,0.16,0.1818,0.93,0,20,20
2011-01-08,Spring,2011,Jan,10,0,Saturday,0,Misty,0.18,0.197,0.8,5,56,61
2011-01-08,Spring,2011,Jan,11,0,Saturday,0,Misty,0.2,0.1818,0.69,2,60,62
2011-01-08,Spring,2011,Jan,12,0,Saturday,0,Misty,0.2,0.1818,0.59,8,90,98
2011-01-08,Spring,2011,Jan,13,0,Saturday,0,Clear,0.2,0.1818,0.44,7,95,102
2011-01-08,Spring,2011,Jan,14,0,Saturday,0,Clear,0.2,0.1667,0.32,12,83,95
2011-01-08,Spring,2011,Jan,15,0,Saturday,0,Clear,0.2,0.1667,0.32,5,69,74
2011-01-08,Spring,2011,Jan,16,0,Saturday,0,Clear,0.18,0.1364,0.29,8,68,76
2011-01-08,Spring,2011,Jan,17,0,Saturday,0,Clear,0.16,0.1212,0.37,5,64,69
2011-01-08,Spring,2011,Jan,18,0,Saturday,0,Clear,0.14,0.1212,0.39,3,52,55
2011-01-08,Spring,2011,Jan,19,0,Saturday,0,Clear,0.14,0.1212,0.36,4,26,30
2011-01-08,Spring,2011,Jan,20,0,Saturday,0,Clear,0.12,0.1212,0.36,0,28,28
2011-01-08,Spring,2011,Jan,21,0,Saturday,0,Clear,0.12,0.1061,0.39,2,35,37
2011-01-08,Spring,2011,Jan,22,0,Saturday,0,Clear,0.12,0.1061,0.36,1,33,34
2011-01-08,Spring,2011,Jan,23,0,Saturday,0,Clear,0.1,0.0606,0.39,0,22,22
2011-01-09,Spring,2011,Jan,0,0,Sunday,0,Clear,0.1,0.0758,0.42,1,24,25
2011-01-09,Spring,2011,Jan,1,0,Sunday,0,Clear,0.1,0.0606,0.42,0,12,12
2011-01-09,Spring,2011,Jan,2,0,Sunday,0,Clear,0.1,0.0606,0.46,0,11,11
2011-01-09,Spring,2011,Jan,3,0,Sunday,0,Clear,0.1,0.0758,0.46,0,4,4
2011-01-09,Spring,2011,Jan,4,0,Sunday,0,Clear,0.08,0.0909,0.53,0,1,1
2011-01-09,Spring,2011,Jan,5,0,Sunday,0,Clear,0.08,0.0909,0.53,0,1,1
2011-01-09,Spring,2011,Jan,6,0,Sunday,0,Clear,0.1,0.0909,0.49,0,1,1
2011-01-09,Spring,2011,Jan,7,0,Sunday,0,Clear,0.08,0.0909,0.53,1,5,6
2011-01-09,Spring,2011,Jan,8,0,Sunday,0,Clear,0.1,0.0909,0.49,0,10,10
2011-01-09,Spring,2011,Jan,9,0,Sunday,0,Clear,0.12,0.0758,0.46,0,19,19
2011-01-09,Spring,2011,Jan,10,0,Sunday,0,Clear,0.14,0.1061,0.43,0,49,49
2011-01-09,Spring,2011,Jan,11,0,Sunday,0,Clear,0.16,0.1212,0.4,2,47,49
2011-01-09,Spring,2011,Jan,12,0,Sunday,0,Clear,0.18,0.1364,0.37,4,79,83
2011-01-09,Spring,2011,Jan,13,0,Sunday,0,Clear,0.2,0.1667,0.34,6,69,75
2011-01-09,Spring,2011,Jan,14,0,Sunday,0,Clear,0.22,0.1818,0.32,8,64,72
2011-01-09,Spring,2011,Jan,15,0,Sunday,0,Clear,0.22,0.197,0.35,5,77,82
2011-01-09,Spring,2011,Jan,16,0,Sunday,0,Clear,0.2,0.1667,0.34,13,79,92
2011-01-09,Spring,2011,Jan,17,0,Sunday,0,Clear,0.18,0.1515,0.37,3,59,62
2011-01-09,Spring,2011,Jan,18,0,Sunday,0,Clear,0.16,0.1364,0.4,4,44,48
2011-01-09,Spring,2011,Jan,19,0,Sunday,0,Clear,0.16,0.1364,0.43,1,40,41
2011-01-09,Spring,2011,Jan,20,0,Sunday,0,Clear,0.14,0.1212,0.46,0,38,38
2011-01-09,Spring,2011,Jan,21,0,Sunday,0,Clear,0.14,0.1061,0.46,1,19,20
2011-01-09,Spring,2011,Jan,22,0,Sunday,0,Clear,0.14,0.1212,0.46,5,10,15
2011-01-09,Spring,2011,Jan,23,0,Sunday,0,Clear,0.12,0.1364,0.5,0,6,6
2011-01-10,Spring,2011,Jan,0,0,Monday,1,Clear,0.12,0.1212,0.5,2,3,5
2011-01-10,Spring,2011,Jan,1,0,Monday,1,Clear,0.12,0.1212,0.5,1,0,1
2011-01-10,Spring,2011,Jan,2,0,Monday,1,Clear,0.12,0.1212,0.5,0,3,3
2011-01-10,Spring,2011,Jan,3,0,Monday,1,Clear,0.12,0.1212,0.5,0,1,1
2011-01-10,Spring,2011,Jan,4,0,Monday,1,Clear,0.1,0.1212,0.54,1,2,3
2011-01-10,Spring,2011,Jan,5,0,Monday,1,Clear,0.1,0.1061,0.54,0,3,3
2011-01-10,Spring,2011,Jan,6,0,Monday,1,Clear,0.12,0.1212,0.5,0,31,31
2011-01-10,Spring,2011,Jan,7,0,Monday,1,Clear,0.12,0.1212,0.5,2,75,77
2011-01-10,Spring,2011,Jan,8,0,Monday,1,Misty,0.12,0.1212,0.5,4,184,188
2011-01-10,Spring,2011,Jan,9,0,Monday,1,Misty,0.14,0.1212,0.5,2,92,94
2011-01-10,Spring,2011,Jan,10,0,Monday,1,Misty,0.14,0.1212,0.5,0,31,31
2011-01-10,Spring,2011,Jan,11,0,Monday,1,Misty,0.16,0.1364,0.47,2,28,30
2011-01-10,Spring,2011,Jan,12,0,Monday,1,Misty,0.2,0.1818,0.4,5,47,52
2011-01-10,Spring,2011,Jan,13,0,Monday,1,Misty,0.2,0.1818,0.4,4,50,54
2011-01-10,Spring,2011,Jan,14,0,Monday,1,Misty,0.2,0.197,0.4,0,47,47
2011-01-10,Spring,2011,Jan,15,0,Monday,1,Misty,0.2,0.197,0.4,2,43,45
2011-01-10,Spring,2011,Jan,16,0,Monday,1,Clear,0.2,0.2121,0.4,4,70,74
2011-01-10,Spring,2011,Jan,17,0,Monday,1,Clear,0.2,0.2273,0.4,4,174,178
2011-01-10,Spring,2011,Jan,18,0,Monday,1,Clear,0.2,0.197,0.4,1,154,155
2011-01-10,Spring,2011,Jan,19,0,Monday,1,Clear,0.16,0.1667,0.47,3,92,95
2011-01-10,Spring,2011,Jan,20,0,Monday,1,Clear,0.16,0.1667,0.5,1,73,74
2011-01-10,Spring,2011,Jan,21,0,Monday,1,Clear,0.14,0.1364,0.59,1,37,38
2011-01-10,Spring,2011,Jan,22,0,Monday,1,Clear,0.14,0.1515,0.59,2,22,24
2011-01-10,Spring,2011,Jan,23,0,Monday,1,Clear,0.14,0.1515,0.59,0,18,18
2011-01-11,Spring,2011,Jan,0,0,Tuesday,1,Clear,0.14,0.1667,0.59,2,10,12
2011-01-11,Spring,2011,Jan,1,0,Tuesday,1,Clear,0.14,0.1515,0.59,0,3,3
2011-01-11,Spring,2011,Jan,2,0,Tuesday,1,Misty,0.16,0.1515,0.55,0,3,3
2011-01-11,Spring,2011,Jan,5,0,Tuesday,1,Misty,0.16,0.1818,0.55,0,6,6
2011-01-11,Spring,2011,Jan,6,0,Tuesday,1,Misty,0.16,0.1818,0.55,0,27,27
2011-01-11,Spring,2011,Jan,7,0,Tuesday,1,Misty,0.16,0.2273,0.55,2,97,99
2011-01-11,Spring,2011,Jan,8,0,Tuesday,1,Misty,0.18,0.2121,0.51,3,214,217
2011-01-11,Spring,2011,Jan,9,0,Tuesday,1,Misty,0.18,0.197,0.51,3,127,130
2011-01-11,Spring,2011,Jan,10,0,Tuesday,1,Misty,0.2,0.2121,0.51,3,51,54
2011-01-11,Spring,2011,Jan,11,0,Tuesday,1,Misty,0.2,0.2121,0.47,4,31,35
2011-01-11,Spring,2011,Jan,12,0,Tuesday,1,Misty,0.2,0.2273,0.51,2,55,57
2011-01-11,Spring,2011,Jan,13,0,Tuesday,1,Misty,0.2,0.2273,0.59,6,46,52
2011-01-11,Spring,2011,Jan,14,0,Tuesday,1,Misty,0.2,0.2273,0.59,3,60,63
2011-01-11,Spring,2011,Jan,15,0,Tuesday,1,Misty,0.16,0.197,0.8,2,45,47
2011-01-11,Spring,2011,Jan,16,0,Tuesday,1,Misty,0.16,0.1515,0.86,4,72,76
2011-01-11,Spring,2011,Jan,17,0,Tuesday,1,Misty,0.16,0.1515,0.86,6,130,136
2011-01-11,Spring,2011,Jan,18,0,Tuesday,1,Light Snow,0.16,0.1818,0.93,1,94,95
2011-01-11,Spring,2011,Jan,19,0,Tuesday,1,Light Snow,0.16,0.2273,0.93,0,51,51
2011-01-11,Spring,2011,Jan,20,0,Tuesday,1,Light Snow,0.16,0.1515,0.93,0,32,32
2011-01-11,Spring,2011,Jan,21,0,Tuesday,1,Light Snow,0.16,0.197,0.86,0,20,20
2011-01-11,Spring,2011,Jan,22,0,Tuesday,1,Light Snow,0.16,0.1818,0.93,1,28,29
2011-01-11,Spring,2011,Jan,23,0,Tuesday,1,Light Snow,0.16,0.197,0.93,1,18,19
2011-01-12,Spring,2011,Jan,0,0,Wednesday,1,Misty,0.16,0.197,0.86,0,7,7
2011-01-12,Spring,2011,Jan,1,0,Wednesday,1,Misty,0.16,0.1818,0.86,0,6,6
2011-01-12,Spring,2011,Jan,2,0,Wednesday,1,Clear,0.14,0.1515,0.86,0,1,1
2011-01-12,Spring,2011,Jan,5,0,Wednesday,1,Clear,0.14,0.1515,0.86,0,5,5
2011-01-12,Spring,2011,Jan,6,0,Wednesday,1,Clear,0.12,0.1515,0.93,0,16,16
2011-01-12,Spring,2011,Jan,7,0,Wednesday,1,Clear,0.14,0.1515,0.69,0,54,54
2011-01-12,Spring,2011,Jan,8,0,Wednesday,1,Clear,0.16,0.1667,0.59,3,125,128
2011-01-12,Spring,2011,Jan,9,0,Wednesday,1,Clear,0.16,0.1364,0.59,3,78,81
2011-01-12,Spring,2011,Jan,10,0,Wednesday,1,Clear,0.18,0.1818,0.55,0,39,39
2011-01-12,Spring,2011,Jan,11,0,Wednesday,1,Clear,0.2,0.1818,0.51,3,32,35
2011-01-12,Spring,2011,Jan,12,0,Wednesday,1,Clear,0.2,0.1515,0.47,3,52,55
